Folder Name,Image Count
(,100
),100
+,108
-,100
0,100
1,108
2,108
3,108
4,108
5,108
6,120
7,108
8,108
9,108
=,100
a,5
alpha,103
b,126
beta,103
c,102
capital_A,21
capital_B,4
capital_C,102
capital_F,95
capital_G,30
capital_H,66
capital_I,24
capital_k,89
capital_M,8
capital_N,2
capital_P,116
capital_R,42
capital_S,103
capital_T,13
d,102
delta,109
epsilon,47
exists,21
f,101
forall,45
g,107
gamma,103
geq,103
gt,103
h,102
i,96
idots,86
infinity,103
k,89
lambda,91
leq,103
limit,103
log,103
lt,103
mathsfunctions,0
mu,103
multiply,80
neq,103
numbers,8
o,2
operations,3
p,24
phi,103
pie,103
pm,103
q,103
r,104
rightarrorw,103
s,44
sigma,103
sin,103
sum,103
t,94
tan,103
theta,103
times,86
u,99
v,102
w,120
x,120
y,120
z,120
[,23
],23
